date,sales
2014-11-28,2295
2014-11-29,2983
2014-11-30,3229
2014-12-01,2867
2014-12-02,2311
2014-12-03,2337
2014-12-04,2774
2014-12-05,2730
2014-12-06,3741
2014-12-07,3751
2014-12-08,3102
2014-12-09,2687
2014-12-10,3222
2014-12-11,1665
2014-12-12,2472
2014-12-13,3310
2014-12-14,3860
2014-12-15,2613
2014-12-16,2549
2014-12-17,2523
2014-12-18,2671
2014-12-19,2668
2014-12-20,3560
2014-12-21,3858
2014-12-22,3460
2014-12-23,3179
2014-12-24,2610
2014-12-25,0
2014-12-26,2365
2014-12-27,2744
2014-12-28,2958
2014-12-29,2560
2014-12-30,2427
2014-12-31,2895
2015-01-01,2179
2015-01-02,3172
2015-01-03,3651
2015-01-04,4168
2015-01-05,3140
2015-01-06,2597
2015-01-07,2503
2015-01-08,2510
2015-01-09,2899
2015-01-10,3999
2015-01-11,4148
2015-01-12,2785
2015-01-13,2240
2015-01-14,2187
2015-01-15,2360
2015-01-16,2745
2015-01-17,3480
2015-01-18,3658
2015-01-19,2945
2015-01-20,2302
2015-01-21,2228
2015-01-22,2046
2015-01-23,2678
2015-01-24,3708
2015-01-25,3727
2015-01-26,2344
2015-01-27,1992
2015-01-28,2082
2015-01-29,2131
2015-01-30,2713
2015-01-31,4140
2015-02-01,3711
2015-02-02,2640
2015-02-03,2718
2015-02-04,2588
2015-02-05,2632
2015-02-06,2797
2015-02-07,4219
2015-02-08,4086
2015-02-09,3451
2015-02-10,2809
2015-02-11,2745
2015-02-12,2608
2015-02-13,2924
2015-02-14,3253
2015-02-15,3218
2015-02-16,2752
2015-02-17,2202
2015-02-18,1961
2015-02-19,2072
2015-02-20,2773
2015-02-21,3112
2015-02-22,3559
2015-02-23,2396
2015-02-24,1923
2015-02-25,1903
2015-02-26,1842
2015-02-27,2519
2015-02-28,3517
2015-03-01,3771
2015-03-02,2688
2015-03-03,2443
2015-03-04,2365
2015-03-05,2377
2015-03-06,2897
2015-03-07,3536
2015-03-08,3940
2015-03-09,2721
2015-03-10,2408
2015-03-11,2374
2015-03-12,2319
2015-03-13,2881
2015-03-14,3270
2015-03-15,3894
2015-03-16,2504
2015-03-17,2220
2015-03-18,2216
2015-03-19,2072
2015-03-20,2733
2015-03-21,3625
2015-03-22,3709
2015-03-23,2452
2015-03-24,2133
2015-03-25,2082
2015-03-26,2210
2015-03-27,2684
2015-03-28,3340
2015-03-29,3909
2015-03-30,2755
2015-03-31,2654
2015-04-01,2903
2015-04-02,2980
2015-04-03,4005
2015-04-04,4688
2015-04-05,3291
2015-04-06,2663
2015-04-07,2538
2015-04-08,2610
2015-04-09,2538
2015-04-10,3175
2015-04-11,3627
2015-04-12,4125
2015-04-13,2829
2015-04-14,2354
2015-04-15,2370
2015-04-16,2464
2015-04-17,2951
2015-04-18,3651
2015-04-19,3868
2015-04-20,2656
2015-04-21,2254
2015-04-22,2169
2015-04-23,2510
2015-04-24,2792
2015-04-25,4005
2015-04-26,3952
2015-04-27,2712
2015-04-28,2344
2015-04-29,2400
2015-04-30,2320
2015-05-01,3579
2015-05-02,4042
2015-05-03,4426
2015-05-04,3184
2015-05-05,2891
2015-05-06,2613
2015-05-07,2874
2015-05-08,3242
2015-05-09,4146
2015-05-10,3482
2015-05-11,3123
2015-05-12,2419
2015-05-13,2594
2015-05-14,2395
2015-05-15,2890
2015-05-16,3628
2015-05-17,3722
2015-05-18,2746
2015-05-19,2346
2015-05-20,2230
2015-05-21,2396
2015-05-22,3110
2015-05-23,3493
2015-05-24,3498
2015-05-25,3306
2015-05-26,2356
2015-05-27,2370
2015-05-28,2209
2015-05-29,2475
2015-05-30,3542
2015-05-31,3824
2015-06-01,3125
2015-06-02,2803
2015-06-03,2657
2015-06-04,2570
2015-06-05,3221
2015-06-06,3748
2015-06-07,3932
2015-06-08,3149
2015-06-09,2924
2015-06-10,2883
2015-06-11,2619
2015-06-12,3148
2015-06-13,3725
2015-06-14,3952
2015-06-15,3048
2015-06-16,2490
2015-06-17,2566
2015-06-18,2592
2015-06-19,3170
2015-06-20,3652
2015-06-21,3342
2015-06-22,2863
2015-06-23,2893
2015-06-24,2456
2015-06-25,2653
2015-06-26,2776
2015-06-27,3487
2015-06-28,3661
2015-06-29,2426
2015-06-30,2615
2015-07-01,2920
2015-07-02,3265
2015-07-03,4224
2015-07-04,3071
2015-07-05,3395
2015-07-06,3290
2015-07-07,2991
2015-07-08,2649
2015-07-09,2804
2015-07-10,3394
2015-07-11,3736
2015-07-12,3772
2015-07-13,2827
2015-07-14,2515
2015-07-15,2534
2015-07-16,2672
2015-07-17,2996
2015-07-18,3190
2015-07-19,3453
2015-07-20,2877
2015-07-21,2528
2015-07-22,2607
2015-07-23,2364
2015-07-24,2838
2015-07-25,2986
2015-07-26,3413
2015-07-27,3020
2015-07-28,2515
2015-07-29,2356
2015-07-30,2716
2015-07-31,3242
2015-08-01,3804
2015-08-02,4348
2015-08-03,3463
2015-08-04,2938
2015-08-05,2822
2015-08-06,2919
2015-08-07,3140
2015-08-08,3926
2015-08-09,4115
2015-08-10,3128
2015-08-11,2629
2015-08-12,2660
2015-08-13,2384
2015-08-14,2899
2015-08-15,3443
2015-08-16,3980
2015-08-17,3166
2015-08-18,2404
2015-08-19,2378
2015-08-20,2393
2015-08-21,2666
2015-08-22,3268
2015-08-23,4063
2015-08-24,2547
2015-08-25,1985
2015-08-26,2152
2015-08-27,2216
2015-08-28,2660
2015-08-29,3484
2015-08-30,3762
2015-08-31,2610
2015-09-01,2547
2015-09-02,2402
2015-09-03,2731
2015-09-04,3213
2015-09-05,3875
2015-09-06,3554
2015-09-07,3709
2015-09-08,2676
2015-09-09,2638
2015-09-10,2557
2015-09-11,2863
2015-09-12,3632
2015-09-13,4001
2015-09-14,2714
2015-09-15,2541
2015-09-16,2197
2015-09-17,2370
2015-09-18,2933
2015-09-19,3706
2015-09-20,4100
2015-09-21,2853
2015-09-22,2540
2015-09-23,2343
2015-09-24,2270
2015-09-25,2842
2015-09-26,3628
2015-09-27,3885
2015-09-28,2623
2015-09-29,2086
2015-09-30,2193
2015-10-01,2497
2015-10-02,3350
2015-10-03,4204
2015-10-04,4609
2015-10-05,3339
2015-10-06,2814
2015-10-07,2563
2015-10-08,2640
2015-10-09,3257
2015-10-10,4062
2015-10-11,4090
2015-10-12,3183
2015-10-13,2603
2015-10-14,2330
2015-10-15,2361
2015-10-16,2615
2015-10-17,3642
2015-10-18,4084
2015-10-19,2575
2015-10-20,2334
2015-10-21,2271
2015-10-22,2020
2015-10-23,2622
2015-10-24,3268
2015-10-25,3952
2015-10-26,2518
2015-10-27,2384
2015-10-28,2102
2015-10-29,2123
2015-10-30,2893
2015-10-31,3185
2015-11-01,3307
2015-11-02,2574
2015-11-03,2597
2015-11-04,2272
2015-11-05,2185
2015-11-06,2696
2015-11-07,3424
2015-11-08,3720
2015-11-09,2537
2015-11-10,2517
2015-11-11,2393
2015-11-12,1862
2015-11-13,2258
2015-11-14,3207
2015-11-15,3676
2015-11-16,2269
2015-11-17,2070
2015-11-18,2144
2015-11-19,1951
2015-11-20,2516
2015-11-21,3206
2015-11-22,3501
2015-11-23,2896
2015-11-24,2642
2015-11-25,3101
2015-11-26,1580
2015-11-27,1642
2015-11-28,2205
2015-11-29,2847
2015-11-30,2245
2015-12-01,2297
2015-12-02,2323
2015-12-03,2185
2015-12-04,2489
2015-12-05,3251
2015-12-06,3437
2015-12-07,2640
2015-12-08,2260
2015-12-09,2143
2015-12-10,2030
2015-12-11,2251
2015-12-12,3112
2015-12-13,3193
2015-12-14,2476
2015-12-15,2224
2015-12-16,2331
2015-12-17,2454
2015-12-18,2401
2015-12-19,3236
2015-12-20,3157
2015-12-21,2730
2015-12-22,2845
2015-12-23,2958
2015-12-24,2662
2015-12-25,0
2015-12-26,2522
2015-12-27,2416
2015-12-28,2297
2015-12-29,2294
2015-12-30,2259
2015-12-31,2686
2016-01-01,2161
2016-01-02,2970
2016-01-03,3261
2016-01-04,2779
2016-01-05,2342
2016-01-06,2197
2016-01-07,2395
2016-01-08,2863
2016-01-09,4006
2016-01-10,3897
2016-01-11,2683
2016-01-12,2180
2016-01-13,2127
2016-01-14,2149
2016-01-15,2613
2016-01-16,3771
2016-01-17,3534
2016-01-18,2905
2016-01-19,2038
2016-01-20,2169
2016-01-21,2186
2016-01-22,2320
2016-01-23,3728
2016-01-24,3440
2016-01-25,2289
2016-01-26,2049
2016-01-27,1970
2016-01-28,2017
2016-01-29,2537
2016-01-30,3481
2016-01-31,3910
2016-02-01,2606
2016-02-02,2467
2016-02-03,2537
2016-02-04,2616
2016-02-05,2877
2016-02-06,4300
2016-02-07,3464
2016-02-08,2592
2016-02-09,2639
2016-02-10,2674
2016-02-11,2644
2016-02-12,2871
2016-02-13,3599
2016-02-14,3169
2016-02-15,3009
2016-02-16,2379
2016-02-17,2371
2016-02-18,2476
2016-02-19,2795
2016-02-20,3469
2016-02-21,3598
2016-02-22,2466
2016-02-23,2406
2016-02-24,2076
2016-02-25,2176
2016-02-26,2713
2016-02-27,3459
2016-02-28,3979
2016-02-29,2465
2016-03-01,2404
2016-03-02,2435
2016-03-03,2465
2016-03-04,2835
2016-03-05,3661
2016-03-06,4435
2016-03-07,2977
2016-03-08,2688
2016-03-09,2493
2016-03-10,2511
2016-03-11,2835
2016-03-12,3773
2016-03-13,3596
2016-03-14,2775
2016-03-15,2203
2016-03-16,2362
2016-03-17,2211
2016-03-18,2749
2016-03-19,3725
2016-03-20,4240
2016-03-21,2766
2016-03-22,2598
2016-03-23,2554
2016-03-24,2681
2016-03-25,3421
2016-03-26,4251
2016-03-27,3366
2016-03-28,2480
2016-03-29,2481
2016-03-30,2135
2016-03-31,2651
2016-04-01,3132
2016-04-02,3890
2016-04-03,4226
2016-04-04,3273
2016-04-05,2711
2016-04-06,2698
2016-04-07,2450
2016-04-08,3141
2016-04-09,4073
2016-04-10,4061
2016-04-11,2876
2016-04-12,2372
2016-04-13,2341
2016-04-14,2421
2016-04-15,2706
2016-04-16,3481
2016-04-17,4004
2016-04-18,2886
2016-04-19,2488
2016-04-20,2490
2016-04-21,2533
2016-04-22,2960
2016-04-23,3655
2016-04-24,4053
2016-04-25,2893
2016-04-26,2518
2016-04-27,2467
2016-04-28,2446
2016-04-29,3032
2016-04-30,3950
2016-05-01,4254
2016-05-02,3278
2016-05-03,2997
2016-05-04,2840
2016-05-05,2735
2016-05-06,3303
2016-05-07,4106
2016-05-08,3630
2016-05-09,3245
2016-05-10,2896
2016-05-11,2687
2016-05-12,2663
2016-05-13,3365
2016-05-14,4046
2016-05-15,4717
2016-05-16,3198
2016-05-17,2794
2016-05-18,2816
2016-05-19,2854
2016-05-20,2993
2016-05-21,3783
2016-05-22,4327
